"id","zeeid","zipcode","type"
"678","1083","21661","POL"
"679","1083","21662","POL"
"680","1083","21663","POL"
"681","1083","21665","POL"
"682","1083","21671","POL"
"683","1083","21676","POL"
"684","1083","21679","POL"
"685","1083","21690","POL"
"686","1083","21012","POL"
"687","1083","21146","POL"
"688","1083","21402","POL"
"689","1083","21409","POL"
"690","1083","21619","POL"
"691","1083","21638","POL"
"692","1083","21658","POL"
"693","1083","21666","POL"
"694","1086","98004","POL"
"695","1086","98005","POL"
"696","1086","98007","POL"
"697","1086","98008","POL"
"698","1086","98009","POL"
"699","1086","98033","POL"
"700","1086","98034","POL"
"701","1086","98083","POL"
"702","1086","98052","POL"
"703","1086","98053","POL"
"704","1086","98072","POL"
"705","1086","98073","POL"
"706","1086","98077","POL"
"707","1090","98006","POL"
"708","1090","98015","POL"
"709","1090","98038","POL"
"710","1090","98040","POL"
"711","1090","98059","POL"
"712","1090","98025","POL"
"713","1090","98027","POL"
"714","1090","98029","POL"
"715","1090","98074","POL"
"716","1090","98075","POL"
"717","1091","60015","POL"
"718","1091","60029","POL"
"719","1091","60043","POL"
"720","1091","60070","POL"
"721","1091","60090","POL"
"722","1091","60091","POL"
"723","1091","60093","POL"
"724","1091","60022","POL"
"725","1091","60025","POL"
"726","1091","60026","POL"
"727","1091","60062","POL"
"728","1091","60065","POL"
"729","1091","60082","POL"
"730","1095","33144","POL"
"731","1095","33165","POL"
"732","1095","33172","POL"
"733","1095","33174","POL"
"734","1095","33192","POL"
"735","1095","33206","POL"
"736","1095","33222","POL"
"737","1095","34001","POL"
"738","1095","34002","POL"
"739","1095","34004","POL"
"740","1095","34007","POL"
"741","1095","34008","POL"
"742","1095","34009","POL"
"743","1095","34010","POL"
"744","1095","34011","POL"
"745","1095","34020","POL"
"746","1095","34021","POL"
"747","1095","34022","POL"
"748","1095","34023","POL"
"749","1095","34024","POL"
"750","1095","34025","POL"
"751","1095","34030","POL"
"752","1095","34031","POL"
"753","1095","34032","POL"
"754","1095","34033","POL"
"755","1095","34034","POL"
"756","1095","34035","POL"
"757","1095","34036","POL"
"758","1095","34037","POL"
"759","1095","34038","POL"
"760","1095","34039","POL"
"761","1095","34041","POL"
"762","1095","34042","POL"
"763","1095","34055","POL"
"764","1095","34058","POL"
"765","1095","34060","POL"
"766","1095","34066","POL"
"767","1095","34067","POL"
"768","1095","34068","POL"
"769","1095","34069","POL"
"770","1095","34072","POL"
"771","1095","34078","POL"
"772","1095","34080","POL"
"773","1095","34081","POL"
"774","1095","34082","POL"
"775","1095","34085","POL"
"776","1095","34086","POL"
"777","1095","34087","POL"
"778","1095","34088","POL"
"779","1095","34089","POL"
"780","1095","34090","POL"
"781","1095","34091","POL"
"782","1095","34092","POL"
"783","1095","34093","POL"
"784","1095","34094","POL"
"785","1095","33114","POL"
"786","1095","33134","POL"
"787","1095","33146","POL"
"788","1095","33155","POL"
"789","1095","33234","POL"
"790","1095","33255","POL"
"791","1096","76137","POL"
"792","1096","76148","POL"
"793","1096","76180","POL"
"794","1096","76181","POL"
"795","1096","76182","POL"
"796","1096","76177","POL"
"797","1096","76244","POL"
"798","1096","76248","POL"
"799","1097","01801","POL"
"800","1097","01813","POL"
"801","1097","01815","POL"
"802","1097","01880","POL"
"803","1097","01888","POL"
"804","1097","02176","POL"
"805","1097","02180","POL"
"806","1097","01904","POL"
"807","1097","01905","POL"
"808","1097","01906","POL"
"809","1097","01923","POL"
"810","1097","01940","POL"
"811","1097","01960","POL"
"812","1097","01961","POL"
"813","1102","03034","POL"
"814","1102","03037","POL"
"815","1102","03040","POL"
"816","1102","03042","POL"
"817","1102","03044","POL"
"818","1102","03077","POL"
"819","1102","03290","POL"
"820","1102","03801","POL"
"821","1102","03802","POL"
"822","1102","03803","POL"
"823","1102","03804","POL"
"824","1102","03824","POL"
"825","1102","03833","POL"
"826","1102","03840","POL"
"827","1102","03842","POL"
"828","1102","03856","POL"
"829","1102","03857","POL"
"830","1102","03861","POL"
"831","1102","03862","POL"
"832","1102","03870","POL"
"833","1102","03885","POL"
"834","1102","03261","POL"
"835","1102","03291","POL"
"836","1102","03815","POL"
"837","1102","03820","POL"
"838","1102","03821","POL"
"839","1102","03822","POL"
"840","1102","03823","POL"
"841","1102","03825","POL"
"842","1102","03835","POL"
"843","1102","03839","POL"
"844","1102","03866","POL"
"845","1102","03867","POL"
"846","1102","03868","POL"
"847","1102","03869","POL"
"848","1102","03878","POL"
"849","1102","03884","POL"
"850","1104","07417","POL"
"851","1104","07436","POL"
"852","1104","07440","POL"
"853","1104","07442","POL"
"854","1104","07444","POL"
"855","1104","07470","POL"
"856","1104","07474","POL"
"857","1104","07430","POL"
"858","1104","07446","POL"
"859","1104","07481","POL"
"860","1104","07502","POL"
"861","1104","07506","POL"
"862","1104","07507","POL"
"863","1104","07508","POL"
"864","1104","07511","POL"
"865","1104","07512","POL"
"866","1104","07522","POL"
"867","1104","07538","POL"
"868","1108","33904","POL"
"869","1108","33906","POL"
"870","1108","33907","POL"
